1.;Cuando conozco gente nueva soy más introvertido
2.;Cuando conozco gente nueva soy mas del tipo extrovertido
3.;Prefiero trabajar en equipo
4.;Prefiero trabajar en solitario
5.;Me gusta ser el centro de atención
6.;No me gusta ser el centro de atención, prefiero pasar desapercibido
7.;En mi día a día me considero una persona comunicativa
8.;Las personas a mi alrededor me dicen que soy una persona reservada
9.;Me gusta pasar la mayor parte del tiempo solo
10.;Me gusta pasar la mayor parte del tiempo en compañía
11.;Mis conocidos me describen como una persona amigable
12.;Me considero una persona sociable.
1.;Soy un persona que se guía mas por la lógica
2.;Soy una persona que se guía mas por lo emocional
3.;Suelo analizar muy bien las cosas
4.;Suelo ser muy creativo
5.;No suelo pensar las cosas antes de actuar
6.;Suelo pensar las cosas antes de actuar
7.;Al tomar decisiones basados en lo sentimental
8.;Mis decisiones se basan en lo racional
9.;cuando me propongo metas cumplirlas
10.;No suelo cumplir las metas que me propongo
11.;Me considero una persona intuitiva
12.;A menudo me encuentro imaginando situaciones que podrían pasar
1.;Me gusta correr riegos, me considero una persona extrema
2.;No me gusta correr riegos, prefiero la seguridad
3.;Me considero una persona tranquila
4.;Prefiero la emoción a la tranquilidad
5.;Soy una persona ansiosa
6.;Soy una persona relajada
7.;Me conformo fácilmente
8.;Soy una persona ambiciosa
9.;Soy un aventurero
10.;Tengo mucha tolerancia 
11.;Generalmente no tengo mucha tolerancia 
12.;Estoy seguro de mi mismo y de mis capacidades
13.;Me considero inseguro
1.;Suelo ser optimista, y le veo el lado bueno a las cosas
2.;Mis cercanos me dicen  me dice que soy pesimista
3.;Generalmente no planeo las cosas, surgen en el momento
4.;planifico siempre con anticipación mis actividades
5.;Soy una persona independiente
6.;Soy una persona generosa
7.;Me concidero muy ordenado 
8.;Soy muy desordenado
9.;Soy terco, me cuesta dar el brazo a torcer
10.;Me considero una persona paciente
11.;Me considero una persona impaciente
12.;Soy responsable
13.;La responsabilidad no es una característica que me define 
14.;Mis amigos me dicen que soy una persona fría
15.;Me considero una persona modesta
16.;La gente ha comentado que soy arrogante
17.;Soy una persona compasiva
18.;Soy perfeccionista
19.;Soy ambicioso, siempre quiero más de lo que tengo
1.;Se manejar mi estrés
2.;No suelo funcionar bien cuando estoy bajo presión
3.;Puedo manejar mis emociones de forma eficiente
4.;Soy una persona que sabe como liderar a un grupo si es necesario
5.;Funciono mejor cuando estoy bajo presión 
6.;No logro manejar mi estrés
7.;Suelo adaptarme fácilmente a diferentes contextos 
8.;Los valores son muy importantes para mi vida
9.;Mi familia y amigos son mi motivación en la vida
10.;El dinero me hace feliz